,imdbId,title,releaseYear,releaseDate,genre_x,writers,actors,directors,sequel,hitFlop,movie_name,release_date,runtime,genre_y,hitfactor,screens,footfall,budget,first_day,first_weekend,first_week,worldwide_first_weekend,worldwide_first_week,india_gross,worldwide_gross,actors_movieCount,actors_ratingSum,actors_normalizedMovieRank,actors_googleHits,actors_normalizedGoogleRank,actors_normalizedRating,directors_movieCount,directors_ratingSum,directors_normalizedMovieRank,directors_googleHits,directors_normalizedGoogleRank,directors_normalizedRating
719,tt1986788,Chal Chalein,2009,07 Aug 2009,Drama,Vijaya Ramchandrula (story),Javed Abedi | Anand Abhyankar | Adityansh | Lalit Agarwal,Ujjwal Singh,0.0,1,Chal Chalein, 7 Aug 2009 , 137 min  ,Drama,Disaster,45,"6,250","2,00,00,000","1,00,000","3,00,000","3,75,000","4,14,000","5,17,500","5,50,000","5,50,000",13.75,630.0,3.4107799232006077,717400.0,3.4642134110132847,3.8547400236129774,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
720,tt1992138,Force,2011,30 Sep 2011,Action | Crime | Drama,Gautham Menon (original story by) | Ritesh Shah,John Abraham | Genelia D'Souza | Raj Babbar | Mohnish Bahl,Nishikant Kamat,0.0,2,Force, 30 Sep 2011 , 137 min  ,Action,Flop,1450,"39,07,000","28,00,00,000","4,53,00,000","13,79,00,000","20,99,00,000","21,16,45,000","31,76,65,000","34,72,00,000","39,03,20,000",13.0,430.0,2.0559449791908264,113775.0,1.3879233201344807,2.19507747888565,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
721,tt1995257,Bachelor Party,2009,04 Sep 2009,Comedy | Drama,Arun Bhairav (script) | Raghuvir Shekhawat (script),Jimmy Shergill | Arbaaz Khan | Nauheed Cyrusi | Sharat Saxena,Ishaan Trivedi,0.0,1,Bachelor Party, 4 Sep 2009 , 112 min  ,Comedy,Disaster,50,"27,800","2,50,00,000","2,25,000","6,75,000","9,00,000","9,11,250","12,15,000","13,20,000","13,20,000",16.41485507246378,715.5120137299773,2.9788738278193287,649043.6336765825,3.0152027458629536,3.5439428890778935,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
722,tt1999857,Cycle Kick,2011,17 Jun 2011,Drama | Sport,Shashi Sudigala,Nishan Nanaiah | Sunny Hinduja | Girija Oak | Ishita Sharma,Shashi Sudigala,0.0,1,Cycle Kick, 17 Jun 2011 , 86 min  ,Drama,Disaster,75,"6,375","1,25,00,000","1,00,000","3,25,000","4,60,000","4,48,500","6,34,800","6,50,000","6,50,000",4.0,80.0,1.0,0.0,3.0152027458629536,1.0,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
723,tt2012576,Bubble Gum,2011,29 Jul 2011,Drama,Rohit Gahlowt (dialogue writer),Apoorva Arora | Apporva Arora | Tanvi Azmi | Delzad Hiwale,Sanjivan Lal,0.0,1,Bubble Gum, 29 Jul 2011 , 97 min  ,Drama,Disaster,50,"11,550","1,75,00,000","1,75,000","5,75,000","8,10,000","7,93,500","11,17,800","11,50,000","11,50,000",18.0,1220.0,5.413682460784912,1419700.0,5.879920045534769,6.028834879398347,3.0,270.0,5.973680019378662,666000.0,5.9496397972106925,6.823679924011231
724,tt2016894,Ek Tha Tiger,2012,15 Aug 2012,Action | Romance | Thriller,Kabir Khan (dialogue) | Kabir Khan (screenplay) | Neelesh Misra (dialogue) | Neelesh Misra (screenplay),Salman Khan | Katrina Kaif | Ranvir Shorey | Girish Karnad,Kabir Khan,0.0,8,Ek Tha Tiger, 15 Aug 2012 , 133 min  ,Action,Blockbuster,3200,"2,47,39,000","92,00,00,000","30,61,00,000","56,11,00,000","1,28,02,00,000","95,22,90,000","2,04,90,60,000","2,51,15,00,000","3,08,31,50,000",16.41485507246378,715.5120137299773,2.9788738278193287,649043.6336765825,3.0152027458629536,3.5439428890778935,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
725,tt2023645,Phhir,2011,12 Aug 2011,Drama | Mystery | Romance,Vikram Bhatt | Girish Dhamija | Dheeraj Rattan (screenplay),Mohan Agashe | Kasturi Banerjee | Roshni Chopra | Rajneesh Duggal,Girish Dhamija,0.0,1,Phhir, 12 Aug 2011 , 98 min  ,Mystery,Disaster,550,"3,06,000","6,00,00,000","36,00,000","1,18,00,000","1,70,00,000","1,58,12,000","2,27,80,000","2,48,00,000","2,48,00,000",25.0,1216.6666666666667,4.1371067365010585,378000.0,1.971723318099976,3.9116733868916835,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
726,tt2027138,Kyaa Super Kool Hain Hum,2012,27 Jul 2012,Comedy,Sukhmani Sadana (dialogue revisor) | Sachin Yardi,Anupam Kher | Ritesh Deshmukh | Rohit Shetty | Tusshar Kapoor,Sachin Yardi,1.0,5,Kyaa Super Kool Hain Hum, 27 Jul 2012 , 137 min  ,Comedy,Hit,1400,"57,32,000","19,00,00,000","6,71,00,000","21,87,00,000","32,48,00,000","31,95,99,000","47,16,16,000","57,72,00,000","60,77,25,000",8.0,205.0,1.4002000093460083,17000.0,1.084280014038086,1.537065029144285,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
727,tt2028553,Stand By,2011,26 Aug 2011,Drama | Sport | Thriller,Varun Gautam | Sanjay Soorkar | Pravin Vithal Tarde,Siddharth Kher | Sachin Khedekar | Dalip Tahil | Nagesh Bhonsle,Sanjay Soorkar,0.0,1,Stand By, 26 Aug 2011 , 119 min  ,Drama,Disaster,250,"22,800","4,50,00,000","3,50,000","11,00,000","14,75,000","14,96,000","20,06,000","20,75,000","20,75,000",10.0,400.0,2.9565200805664062,234000.0,1.6002399921417236,3.02710008621216,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
728,tt2032530,Shabri,2011,26 Aug 2011,Action | Crime | Drama,Lalit Marathe (story),Isha Koppikar | Raj Arjun | Manish Wadhwa | Pradeep Singh Rawat,Lalit Marathe,0.0,1,Shabri, 26 Aug 2011 , 99 min  ,Drama,Disaster,75,"21,100","3,50,00,000","2,75,000","8,25,000","11,35,000","11,46,750","15,77,650","16,50,000","16,50,000",6.0,140.0,1.3260899782180786,107000.0,1.2726099491119385,1.9111399650573704,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
729,tt2033947,Aazaan,2011,14 Oct 2011,Action | Drama | Mystery,Prashant Chadha (story) | Heeraz Marfatia (story) | Shubhra Swarup (story),Sachiin Joshi | Candice Boucher | Arya Babbar | Samy Gharbi,Prashant Chadha,0.0,1,Aazaan, 14 Oct 2011 , 130 min  ,Action,Disaster,675,"3,10,000","33,00,00,000","33,00,000","1,15,00,000","1,60,00,000","1,59,85,000","2,22,40,000","2,63,00,000","2,63,00,000",13.666666666666664,630.0,3.2929066816965737,186600.0,1.4779533545176191,3.1491233507792167,4.0,180.0,2.776319980621338,5480.0,1.0317200422286987,2.740010023117069
