movie_name,release_date,runtime,genre,hitfactor,screens,footfall,budget,first_day,first_weekend,first_week,worldwide_first_weekend,worldwide_first_week,india_gross,worldwide_gross
Sarkar Raj, 6 Jun 2008 , 127 min  ,Action,Below Average,1100,"75,57,000","27,00,00,000","4,97,00,000","16,42,00,000","23,83,00,000","29,83,48,000","41,67,37,000","47,84,00,000","59,55,35,000"
Garam Honth, 29 Nov 2002 , 89 min  ,Drama,Disaster,1,"49,200","15,00,000",None,None,None,None,"10,02,000","10,00,000","10,00,000"
Pyaasa, 11 Oct 2002 , 137 min  ,Love Story,Disaster,25,"2,43,000","2,25,00,000","7,50,000","20,00,000","30,00,000","28,00,000","42,00,000","66,00,000","66,00,000"
Jeet Lenge Jahaan, 30 Nov 2012 , 137 min  ,Drama,Disaster,25,"4,175","1,50,00,000","7,50,000","2,50,000","3,25,000","3,50,000","4,55,000","5,25,000","5,25,000"
Ricksha Waali, 27 Apr 2007 , 76 min  ,Adult,Disaster,1,"49,000","15,00,000",None,None,None,None,"13,23,000","13,25,000","13,25,000"
Sweet Love, 20 Jan 2012 , 105 min  ,Drama,Disaster,10,"5,475","20,00,000",None,None,"1,00,000",None,"1,40,000","1,75,000","1,75,000"
Aapko Pehle Bhi Kahin Dekha Hai, 10 Jan 2003 , 144 min  ,Love Story,Disaster,135,"7,55,000","4,25,00,000","30,00,000","82,00,000","1,19,00,000","1,43,32,000","2,08,10,000","2,52,00,000","2,66,40,000"
Zanjeer - The Chain, 28 Aug 1998 , 135 min  ,Action,Flop,35,"5,49,000","90,00,000","9,00,000","25,00,000","39,00,000","42,50,000","66,30,000","98,00,000","98,85,000"
Daak Bangla, 19 May 2000 , 0 min  ,Horror,Disaster,10,"84,400","25,00,000",None,None,None,None,"14,53,500","14,50,000","14,50,000"
Rakht Charitra 2, 4 Dec 2010 , 136 min  ,Action,Disaster,650,"4,42,000","19,00,00,000","55,00,000","1,71,00,000","2,41,00,000","2,34,27,000","3,30,17,000","3,44,00,000","3,44,00,000"
Ramayana The Epic, 15 Oct 2010 , 100 min  ,Animation,Disaster,225,"97,200","7,00,00,000","12,00,000","46,00,000","64,50,000","63,02,000","88,36,500","98,00,000","98,00,000"
Bhagyawan, 10 Dec 1993 , 136 min  ,Drama,Flop,110,"41,04,000","1,10,00,000","17,00,000","48,00,000","88,25,000","89,76,000","1,65,02,750","3,74,00,000","3,77,15,000"
Piku - Motion Se Hi Emotion, 8 May 2015 , 125 min  ,Drama,Hit,1300,"75,81,000","42,00,00,000","5,27,00,000","24,99,00,000","41,32,00,000","47,25,66,000","75,64,13,000","1,05,31,00,000","1,41,26,50,000"
Club Dancer, 8 Apr 2016 , 125 min  ,Thriller,Disaster,25,"7,800",None,None,None,None,None,"6,74,500","6,75,000","6,75,000"
Rukh, 27 Oct 2017 , 106 min  ,Drama,Disaster,300,"49,700",None,"12,00,000","47,00,000","67,25,000","60,63,000","86,75,250","88,00,000","88,00,000"
My Tears, 7 Aug 2015 , 0 min  ,Drama,Disaster,2,"3,400",None,None,None,None,None,"17,50,000","17,50,000","17,50,000"
Jai Maa Shakambari, 18 Apr 2014 , 126 min  ,Devotional,Disaster,5,"1,04,500",None,None,None,None,None,"4,76,000","4,75,000","4,75,000"
Aatank Raj, 4 Feb 2000 , 128 min  ,Drama,Disaster,20,"1,04,500","25,00,000","1,50,000","4,50,000","6,75,000","7,92,000","11,88,000","18,00,000","18,21,750"
Hello Girls, 19 Oct 2001 , 117 min  ,Drama,Disaster,2,"25,500","15,00,000",None,None,None,None,"4,74,000","4,75,000","4,75,000"
Hum Tumhare Hain Sanam, 24 May 2002 , 172 min  ,Love Story,Average,300,"81,32,000","12,00,00,000","1,42,00,000","4,14,00,000","6,84,00,000","11,11,85,000","17,23,95,000","22,26,70,000","34,76,20,000"
Yeh Faasley, 4 Mar 2011 , 141 min  ,Drama,Disaster,225,"36,200","6,50,00,000","5,75,000","17,50,000","25,50,000","22,92,500","33,40,500","35,00,000","35,00,000"
Kahin Hai Mera Pyar, 2 May 2014 , 138 min  ,Love Story,Disaster,275,"31,600","4,50,00,000","2,75,000","9,00,000","13,00,000","12,42,000","17,94,000","22,75,000","22,75,000"
Monsoon, 20 Feb 2015 , 107 min  ,Drama,Disaster,300,"62,300",None,"7,00,000","25,00,000","37,25,000","32,50,000","48,42,500","52,00,000","52,00,000"
Abhishaap Kamasutra Ka, 4 Nov 2016 , 0 min  ,Adult,Disaster,10,"10,300",None,None,None,None,None,"6,74,500","6,75,000","6,75,000"
Game, 5 Jan 2007 , 146 min  ,Thriller,Disaster,40,"1,15,500","1,50,00,000","7,00,000","21,00,000","29,50,000","29,19,000","41,00,500","56,00,000","56,00,000"
Main Khiladi Tu Anari, 23 Sep 1994 , 180 min  ,Masala,Hit,210,"1,10,92,000","3,25,00,000","50,00,000","1,41,00,000","2,43,25,000","2,41,11,000","4,15,95,750","13,48,00,000","13,84,22,500"
Love Lies And Seeta, 18 May 2012 , 100 min  ,Rom - Com,Disaster,25,"2,275","1,75,00,000","40,000","1,25,000","1,65,000","1,78,750","2,35,950","2,50,000","2,50,000"
Mom, 7 Jul 2017 , 147 min  ,Drama,Flop,1200,"28,17,000","37,00,00,000","2,56,00,000","13,65,00,000","20,68,00,000","23,95,95,000","35,88,94,000","41,61,00,000","56,57,40,000"
My Emptiness, 6 Nov 2015 , 0 min  ,Drama,Disaster,1,300,None,None,None,None,None,"50,000","50,000","50,000"
Hum Tum Pe Marte Hain, 24 Sep 1999 , 161 min  ,Love Story,Flop,145,"47,24,000","6,75,00,000","46,00,000","1,42,00,000","2,60,00,000","2,65,32,500","4,76,80,000","10,57,00,000","11,24,42,500"
Aarakshan, 12 Aug 2011 , 166 min  ,Drama,Flop,1500,"60,87,000","53,00,00,000","4,47,00,000","17,88,00,000","28,48,00,000","28,16,52,500","44,05,90,000","56,52,00,000","64,52,92,500"
Badmashiyaan - Fun Never Ends, 6 Mar 2015 , 128 min  ,Comedy,Disaster,500,"80,200",None,"12,00,000","50,00,000","75,00,000","65,50,000","98,25,000","1,03,00,000","1,03,00,000"
Dor, 22 Sep 2006 , 123 min  ,Drama,Flop,100,"4,76,000","3,00,00,000","14,00,000","51,00,000","89,50,000","71,91,000","1,26,19,500","3,81,00,000","3,81,00,000"
Akaash Vani, 25 Jan 2013 , 149 min  ,Rom - Com,Disaster,450,"2,71,000","10,00,00,000","35,00,000","1,40,00,000","2,13,00,000","1,90,40,000","2,89,68,000","3,06,00,000","3,06,00,000"
Sanam Re, 12 Feb 2016 , 120 min  ,Love Story,Flop,2000,"26,16,000","27,00,00,000","3,53,00,000","13,82,00,000","19,48,00,000","20,20,73,750","28,47,51,250","30,08,00,000","31,45,50,000"
Karavaas - The Punishment, 9 Sep 2005 , 114 min  ,Love Story,Disaster,2,"6,875","45,00,000","25,000","75,000","1,00,000","1,08,000","1,44,000","1,80,000","1,80,000"
The House Next Door, 10 Nov 2017 , 140 min  ,Horror,Disaster,350,"1,62,500",None,None,None,"1,36,00,000",None,"1,75,44,000","2,31,00,000","2,31,00,000"
Shortcut Romeo, 21 Jun 2013 , 147 min  ,Thriller,Disaster,750,"1,29,500","14,00,00,000","19,00,000","62,00,000","91,00,000","84,32,000","1,23,76,000","1,36,00,000","1,36,00,000"
Chameli, 9 Jan 2004 , 108 min  ,Drama,Flop,150,"8,31,000","3,50,00,000","44,00,000","1,39,00,000","2,13,00,000","2,21,64,500","3,37,99,000","4,73,00,000","5,01,21,000"
Titoo MBA, 21 Nov 2014 , 120 min  ,Comedy,Disaster,150,"97,900","2,50,00,000",None,None,"10,05,000",None,"13,16,550","14,00,000","14,00,000"
Hawas Ki Raat, 11 May 2001 , 115 min  ,Horror,Disaster,5,"1,53,000","20,00,000",None,None,None,None,"28,05,000","28,00,000","28,00,000"
Insaaf - The Justice, 5 Mar 2004 , 136 min  ,Drama,Disaster,100,"3,86,000","4,75,00,000","15,00,000","47,00,000","68,00,000","79,55,000","1,16,48,000","1,31,00,000","1,55,88,750"
8 x 10 Tasveer, 3 Apr 2009 , 121 min  ,Thriller,Disaster,825,"25,97,000","35,00,00,000","1,89,00,000","6,15,00,000","9,16,00,000","9,57,55,000","14,29,92,000","21,08,00,000","23,58,00,000"
Rafoo Chakkar - Fun On The Run, 26 Sep 2008 , 121 min  ,Comedy,Disaster,90,"28,900","2,75,00,000","4,25,000","13,25,000","18,00,000","18,15,250","24,66,000","25,75,000","25,75,000"
Damadamm!, 27 Oct 2011 , 120 min  ,Comedy,Disaster,225,"1,02,500","5,00,00,000","14,00,000","43,00,000","59,25,000","59,77,000","82,35,750","91,00,000","91,00,000"
Chai Pani Etc..., 11 Mar 2005 , 92 min  ,Comedy,Disaster,12,"13,500","1,75,00,000","75,000","2,75,000","4,50,000","3,90,500","6,39,000","11,00,000","11,00,000"
Katti Batti, 18 Sep 2015 , 138 min  ,Rom - Com,Flop,1250,"21,94,300","32,00,00,000","5,22,00,000","15,74,00,000","21,85,00,000","27,96,74,500","38,76,62,500","32,78,00,000","42,64,25,000"
Players, 6 Jan 2012 , 166 min  ,Action,Disaster,1900,"41,02,000","55,00,00,000","4,63,00,000","14,58,00,000","21,52,00,000","24,18,63,000","35,40,97,000","40,58,00,000","48,56,00,000"
Mona Darling, 24 Feb 2017 , 113 min  ,Mystery,Disaster,225,"10,900",None,"2,00,000","6,75,000","9,50,000","9,11,250","12,82,500","13,25,000","13,25,000"
Zamane Se Kya Darna, 14 Jan 1994 , 168 min  ,Masala,Average,170,"79,91,000","2,40,00,000","39,00,000","1,12,00,000","1,87,25,000","2,07,20,000","3,46,41,250","7,52,00,000","7,67,62,500"
We Are Family, 2 Sep 2010 , 117 min  ,Drama,Flop,900,"30,75,000","30,00,00,000","3,11,00,000","10,42,00,000","18,15,00,000","19,05,37,000","31,79,85,000","29,68,00,000","42,04,90,000"
